sector,urban,admin2,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
professional,urban,Diourbel,437995,395173,371027,421914,478464,439163,436531,394219,396970,575186,479314,432783,367237,388199,438602,294165,483599,378886,356499,349383,351194,501029,373710,435077,378493,395637,512315,459221,318240,410972,347639,378732,484601,315366,389166,306499,297027,364535,330669,417779,324807,374123,386317,267910,576135,342487,523041,431502,360164,402292,395213,389929,330396,412380,420189,308972,384913,382220,333052,388442,434782,374328,424998,369201,451286,362714,347534,302615,351349,383034,299852,252060,596554,431479,366510,355076,322415,452693,344827,391224,461362,342638,440914,435378,404642,395687,484290,467153,408713,328492,277909,327414,337371,446102,310659,458089,500987,371252,369486,407422
professional,urban,M'backe,668519,463083,491667,553950,501275,495509,654395,643994,499105,432517,543992,541465,497653,478390,643209,606169,562680,605086,592974,660108,634114,485761,498271,415029,427118,470234,611893,664702,605490,487691,565480,597187,522572,428387,504577,469774,572413,845748,592816,722354,317926,716648,824102,620753,493346,597064,583337,808712,677710,608670,612624,483603,348225,802087,442076,533849,543668,510238,479217,722742,423151,531525,620172,475392,637350,531723,398208,407112,700581,753021,522448,618728,547977,796126,448937,650352,588631,474438,439763,613357,563211,676572,500058,493821,707676,669656,600912,644441,729779,529681,444438,551104,478857,694102,502058,433636,659902,537382,495148,602356
services,urban,Bambey,296076,382491,546618,485898,341929,255828,490097,397687,328309,309290,423988,431766,230804,413928,372308,325827,597165,452631,523580,404193,334723,316321,358135,262520,398897,473201,468816,363387,348398,321807,318456,425479,332863,295058,440974,437080,397638,392312,414770,409714,361553,313573,266841,561633,406885,362021,354380,328483,361106,457123,426030,593430,412260,412365,450130,421968,501115,330578,473005,384501,406802,376616,389878,311354,380007,375902,601415,413055,377352,558961,529944,411875,503168,317074,599549,278228,476083,488340,303824,559232,339675,309922,320966,518082,432988,477992,415746,260849,294527,247510,398629,319857,386956,354662,405254,680656,297838,370482,447306,612023
services,urban,Diourbel,261279,290054,263932,285813,229173,258083,314305,242416,261433,370850,254429,266931,220373,268380,207403,177474,220140,219802,292933,261435,148726,308592,379244,175576,259045,211780,335276,260639,305080,286918,229570,200474,208999,247859,347611,240093,252450,280420,294539,260463,217126,269151,254064,242118,258711,388809,270426,249120,206490,281404,308309,243719,199872,259981,215355,202115,242504,238630,169100,264545,274268,232003,329837,190615,401485,231825,230078,327447,304938,152850,214746,259572,306591,270845,213767,205316,301600,187249,317303,286017,257790,261223,290616,350989,169126,311137,275806,218493,307363,219639,282004,235622,233831,290651,278281,328856,307909,261566,247539,239739
services,urban,M'backe,326958,365275,313244,637690,430072,330271,379910,433038,344201,392077,396176,414629,297795,297378,367013,276499,348802,385831,257711,417590,500551,337228,576783,309015,329536,253422,308508,356058,386891,340810,325727,277628,398435,465052,420949,331216,291244,261779,457701,373525,284252,406877,441639,357726,332834,398295,348912,348692,349247,396448,319586,331332,337914,354560,353954,398444,319818,244555,408367,348467,432758,457629,310580,471885,490848,276018,374617,381441,391546,489372,346755,221286,335944,432474,354890,293512,407672,446039,342124,399112,387043,489935,342739,370020,394841,368008,318233,317532,397106,420764,270397,305674,301658,392601,399789,399248,400740,411566,252578,380326
small_business,urban,Bambey,166478,117047,127881,106439,155282,130109,125619,188280,192308,212747,115491,241997,152273,139807,121912,91391,168426,120872,206542,124050,105294,164267,118271,152749,146902,123380,128964,162865,160451,125433,198353,175081,150577,138406,153975,154651,200504,97158,137141,150115,132278,172369,185105,191312,140888,142784,134288,137227,180883,148211,157556,136204,142942,182927,191920,180293,165478,132918,127434,177959,104418,124524,162735,176580,132821,143460,102029,126632,137259,123453,111811,136321,158157,126815,110580,145685,115474,153726,167883,122250,101155,192205,103282,181753,148344,134975,197980,117186,171019,126207,140813,123529,144364,92366,150515,104686,233044,121160,110623,158484
small_business,urban,Diourbel,148497,149752,146359,161495,166488,138454,166778,124067,161170,129908,146731,127090,155765,135027,141104,133878,138781,143571,130831,163473,148212,141188,148790,139751,147771,180820,139910,132630,126271,158549,135986,127415,168286,174742,135137,153599,166202,157640,136140,144551,164483,139643,154465,138031,115721,175967,168327,177918,146322,175833,161645,130752,159074,167873,136633,143485,147524,152432,144646,143072,112591,127677,165690,158930,134649,150055,137524,127550,143330,148682,138039,139419,108689,142984,137521,145698,140363,145496,158093,147031,144854,129372,146563,150815,139761,168856,110930,116715,139396,156592,142647,136238,129522,135084,139224,131280,154744,151851,159680,169300
small_business,urban,M'backe,51783,43815,42533,62079,42474,58473,46821,30404,48553,54261,66225,56999,52905,66136,58559,68923,57031,56380,48127,45566,43046,35195,58261,37478,48774,67605,58449,83356,42278,50035,47065,50989,41060,55224,47248,42923,68819,50848,52629,50498,57438,59599,60754,51687,44669,60572,50657,35603,38105,40718,60606,61430,60443,48823,58514,64357,72131,42767,61812,45958,68690,43710,55912,43986,53082,59481,57404,46317,46979,52403,47313,74867,47386,41823,64410,52605,47145,67422,61290,58420,46129,44025,55212,57355,53271,44530,58810,39315,63076,62813,62183,39947,86280,47540,61159,51884,42765,53467,64507,78331
trades,urban,Diourbel,520252,688773,651032,688743,536180,403165,622130,383280,578774,619902,593085,671727,730580,656789,599728,639035,690552,593732,404938,708074,588928,626006,739944,902108,486407,510416,654195,893496,686702,521904,375095,692582,523519,568013,591040,858931,562921,481659,499462,721303,541160,727292,669039,541443,590590,511505,615040,634214,553234,820294,706000,727294,483113,662830,398438,335885,526911,629172,691706,828505,624152,766583,530920,584599,574675,508845,820373,446414,722474,596304,431706,656190,539842,714900,607567,630983,641642,405100,491469,518010,433165,943707,538408,505334,798832,543039,543921,675587,526149,768628,417878,402145,1028767,496063,442961,522160,870257,632396,1198763,451617
trades,urban,M'backe,498934,392868,508889,520449,644377,472973,600413,390071,661215,424101,482156,422114,327303,631225,446553,393208,473074,639240,574543,319925,387910,488256,449839,375574,406495,469165,492175,374211,488446,430018,556504,383713,383746,528773,446511,631488,260600,614903,469471,447412,575975,389770,448842,514961,436323,390513,417148,443780,406432,463811,533256,442441,359061,502111,521805,584295,493129,435240,456215,564660,472389,544534,432857,345651,566343,431554,545157,473303,495964,482855,452539,489448,395080,414639,390051,635018,582835,410046,500157,463926,421685,324182,470909,464629,357551,635464,382576,514082,550080,638974,379804,475346,544673,347464,424607,494007,529087,522971,475806,644931
