admin1,urban,sector,pred_mean,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Fatick,rural,professional,0.0700468212328173,0.061419535885805836,0.0788598487538734,0.05911674047273754,0.08206278010373243
Fatick,rural,services,0.04588596104363571,0.03913938088373296,0.05288637367763634,0.03745210651533754,0.05529664179243022
Fatick,rural,small_business,0.32846319185403156,0.30518959917339855,0.35101519799088765,0.2985869800090604,0.3582222222002282
Fatick,rural,trades,0.09248287931413106,0.08126702718528285,0.1034769447353123,0.07892387080780265,0.10739785524345707
Fatick,urban,agri_aqua,0.06115323274789037,0.052174521721737456,0.07012503972453579,0.05004795658113752,0.07305807567685275
Fatick,urban,livestock,0.04642482222053432,0.039816429900012856,0.0535803541824538,0.03804119353448844,0.05542724862891291
Fatick,urban,professional,0.1985931462348332,0.17865329781119277,0.21830427089933135,0.17407986102231243,0.22320040223412416
Fatick,urban,services,0.11242773276892017,0.09829045842274317,0.12803233278113388,0.09367461789655808,0.13198398325391514
Fatick,urban,small_business,0.4792699047951613,0.4537731130091467,0.5028891077573608,0.4471451762411743,0.5093900772262124
Fatick,urban,trades,0.10213116123266065,0.0904113341249769,0.11386560154528849,0.08706446765926243,0.11741429131878023
Kaffrine,rural,agri_aqua,0.3850226456334345,0.3547482981287316,0.41446830643888044,0.3448623180357752,0.42166329796449126
Kaffrine,rural,livestock,0.21065058744316703,0.1867049212082395,0.23424506676065698,0.18045712751719883,0.24260390428926473
Kaffrine,rural,professional,0.036169569222296256,0.030209848416854538,0.04261075430022006,0.02841336551704175,0.04468021007037031
Kaffrine,rural,services,0.023244781904248557,0.01879002014451896,0.028140513129002575,0.017701430311172047,0.029808234117073718
Kaffrine,rural,small_business,0.298649906266217,0.27513809339848455,0.32188517954117646,0.26980278743699904,0.3272219159632083
Kaffrine,rural,trades,0.04626250953063658,0.03907374441031848,0.053832023301220076,0.03703786625867662,0.05612520514510316
Kaffrine,urban,agri_aqua,0.10649030979207848,0.09291354620083656,0.12067632877220982,0.09036084627569382,0.12460870575870837
Kaffrine,urban,livestock,0.06896802206670753,0.058575273629421096,0.0798064176936889,0.05558470046639709,0.08289465184889008
Kaffrine,urban,professional,0.12932333608499894,0.11170021535819329,0.1470522651663786,0.10677714827224885,0.15427644966277362
Kaffrine,urban,services,0.07197101619842994,0.05927031951764779,0.08559157827174911,0.056217574947010865,0.0898619056988059
Kaffrine,urban,small_business,0.5587221742166943,0.53056589254589,0.5858188688319,0.5227989742521715,0.5938244420024507
Kaffrine,urban,trades,0.06452514164109083,0.055563101113104515,0.07426892772525429,0.05310369016469977,0.07740752521250624
Kaolack,rural,agri_aqua,0.3573477846981445,0.3306221037834774,0.3811221528807554,0.3253631092353567,0.3881698102120634
Kaolack,rural,livestock,0.10021126708028062,0.08504606399712912,0.11557824241394114,0.08158049591419506,0.12117467161206762
Kaolack,rural,professional,0.07732829466813275,0.06848897021337172,0.08633272008881725,0.06636522017208801,0.08896043418528414
Kaolack,rural,services,0.05083524124702258,0.043791941716416635,0.05800881054549587,0.04241278726071074,0.060370689472640855
Kaolack,rural,small_business,0.31602305299034666,0.2956026142769006,0.33678452508906176,0.2910129839199031,0.3417642329464167
Kaolack,rural,trades,0.09825435931607293,0.08813281803549129,0.10923194632604871,0.08524344804615253,0.11263414237228339
