sector,urban,admin,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
livestock,urban,Foundiougne,37271.5,23606.1,59737.1,20470.100000000002,69490.49999999997
livestock,urban,Gossas,40916.5,15952.9,97763.50000000001,12360.6,131024.34999999987
livestock,urban,Goudiry,50884.5,17192.7,134809.4,12915.95,183186.19999999992
livestock,urban,Goudomp,11376.5,5158.5,24548.5,4201.5,33214.35
livestock,urban,Guediawaye,122984.5,54566.2,255740.50000000003,41638.6,300470.24999999977
livestock,urban,Guinguineo,81364.5,43562.8,144459.30000000002,35853.799999999996,169962.4
livestock,urban,Kaffrine,27225.5,18453.7,41391.700000000004,16436.55,46961.5
livestock,urban,Kanel,98104.5,67175.4,143348.6,59382.399999999994,162724.39999999997
livestock,urban,Kaolack,30550,19659.3,47427.100000000006,17759.899999999998,52539.299999999996
livestock,urban,Kebemer,67997,33348.100000000006,140945.30000000002,26834.9,169129.15
livestock,urban,Kedougou,59493.5,38122.7,89408.4,35354.05,104370.35
livestock,urban,Kolda,21909.5,11631.8,41315.50000000001,9559.2,49247.3
livestock,urban,Koungheul,68023,37627.5,125535.50000000001,31322.7,155351.15000000002
livestock,urban,Koupentoum,36949,19223.3,72632.6,15869.800000000001,88011.4
livestock,urban,Linguere,58677.5,38099.799999999996,88714.20000000001,33005.5,101373.79999999997
livestock,urban,Louga,92779.5,62959,142321.1,56722.25,164265.49999999997
livestock,urban,M.backe,42353,21473.800000000003,81850.8,18317.050000000003,102571.59999999999
livestock,urban,M.bour,46932,29964.6,72102.7,26175.350000000002,82458.54999999999
livestock,urban,Malem.Hoddar,53451.5,25362.6,111043.70000000001,20763.4,139641.74999999994
livestock,urban,Matam,78411.5,46314.600000000006,127747,38713.8,149187.84999999995
livestock,urban,Nioro,19061,8847.5,41782.9,6926.4000000000005,53586.849999999984
livestock,urban,Pikine,177511,125381.9,251247.6,111589.5,279599.25
livestock,urban,Podor,30324,12922.5,70154.70000000001,10412.8,90379.99999999999
livestock,urban,Rufisque,105487.5,61805.6,175857.2,54903.7,200813.89999999997
livestock,urban,Saint.Louis,47576,30036.7,74515.9,26834.85,85146.25
livestock,urban,Salemata,27497.5,15834.9,47535.799999999996,13652.2,56090.75
livestock,urban,Sedhiou,19900.5,7914,50879.100000000006,6215.3,63528.59999999999
livestock,urban,Tambacounda,44159,22092.5,86155.00000000001,18095.100000000002,106339.74999999994
livestock,urban,Thies,85680.5,49650.600000000006,144653.2,42297.25,170943.65
livestock,urban,Tivaouane,114602.5,51578.3,242336.90000000005,41501.2,296215.89999999997
livestock,urban,Velingara,36793,20170.600000000002,64429.3,17618.1,79250.59999999999
livestock,urban,Ziguinchor,13573,8634,22087.800000000003,7489.799999999999,25916.649999999994
professional,rural,Bakel,481893,363707.4,629237.8000000002,326534.05,687733.35
professional,rural,Bambey,332027.5,247231.6,431811.2,224054.45,462964.95
professional,rural,Bignona,628961.5,489285.8,793899.8,455202.35,848667.1999999998
professional,rural,Birkelane,447455.5,338645.7,632851.1000000001,314912.2,692081.6
professional,rural,Bounkiling,433506.5,336812,560573.2000000001,317653.9,599219.7999999999
professional,rural,Dagana,396229,310585.7,505240.7,291895.95,537761.2499999999
professional,rural,Diourbel,277575.5,213111,372006.20000000007,197577.75,397132.6999999999
professional,rural,Fatick,485252.5,383308.4,617484.5,357296.7,658211.0499999998
professional,rural,Foundiougne,377877.5,310947.6,466388.1,291669.65,496618.8499999999
professional,rural,Gossas,499394.5,362665.8,672902.4,332767.2,739388.7999999999
professional,rural,Goudiry,453255,341917.9,605802,316728.15,662673.7499999999
professional,rural,Goudomp,446776.5,344010.9,576994,310401.44999999995,619621
professional,rural,Guinguineo,462452.5,361601.6,591818.5,340136.19999999995,643048.5
professional,rural,Kaffrine,388112,300118.10000000003,495698.39999999997,278975.69999999995,532522.35
professional,rural,Kanel,348037,254634.3,462222.6,233496.45,492667.2
professional,rural,Kaolack,451642.5,370040.1,547134.2000000001,352681.64999999997,576177.75
professional,rural,Kebemer,497952,398567.10000000003,625690.4,375738.9,674769.0499999999
professional,rural,Kedougou,585862.5,480019.7,733835.3,451234.95,780602.95
professional,rural,Kolda,471963,377487.7,607140.8,351998.05,641889.45
professional,rural,Koungheul,377999.5,293096.3,478106.3,270251.15,514239.24999999994
professional,rural,Koupentoum,380918.5,267298.2,505085.4,232815.1,551456.35
professional,rural,Linguere,464657,380876.9,573318.5,360598.2,613928.1
professional,rural,Louga,494999.5,393133.7,626535.5,362312.8,662098.2999999998
professional,rural,M.backe,295611.5,237601.5,363656.10000000003,222129.59999999998,386185.24999999994
professional,rural,M.bour,439777.5,355964,547977.3,330308.60000000003,584791.5499999999
professional,rural,Malem.Hoddar,422899,307625.5,583942.7,277710.14999999997,648484.9
professional,rural,Matam,473462,371767.1,591645.1000000001,348010.45,637635.8499999999
professional,rural,Medina.Yoro.Foulah,414210,295479.60000000003,570283.3,270106.2,628653.1
professional,rural,Nioro,433363,341341,536908.6,323228.10000000003,570393.85
professional,rural,Oussouye,417895,312190.7,575366.7000000001,281605.35000000003,626248.3999999999
professional,rural,Podor,368710,282764.8,464855.4,259330.90000000002,506421.6499999999
professional,rural,Ranerou,425076,299354.9,598311.5,273005.9,655267.4499999998
professional,rural,Rufisque,561977.5,479632.8,656784.2999999999,458799.35000000003,687139.3
professional,rural,Saint.Louis,422884,337499.6,549583.9,316835.75,578169.7
professional,rural,Salemata,420414.5,311572.5,555182.4,281123.45,599944.2999999999
professional,rural,Saraya,418469.5,299493.10000000003,566715.9,271476.75,642001.0499999999
professional,rural,Sedhiou,411128,323795.5,516296,301177.55000000005,551516.7
professional,rural,Tambacounda,400178.5,327349.8,495022.10000000003,307661.75,526414.95
professional,rural,Thies,423465,344796.89999999997,525941.5,328415.55,560146.0499999999
professional,rural,Tivaouane,498269,407819.1,598253.8,383559.45,625917.0999999997
professional,rural,Velingara,446401,351466.6,560174.7000000001,329679.65,605578.2
professional,rural,Ziguinchor,438768.5,347368.3,562018.2000000001,321045.3,606833.8499999999
professional,urban,Bakel,917513,669085.3,1281015.4,610685.9500000001,1401546.9000000001
professional,urban,Bambey,556799.5,415997.7,748060.5,380137.85,811939.55
professional,urban,Bignona,995196.5,670335.6000000001,1405345.5999999999,594733.1000000001,1539361.2
professional,urban,Bounkiling,632838,438364.30000000005,896043.7999999999,398829.85,974054.7999999999
professional,urban,Dagana,620528,492431.1,789957.4,460880.45,842490.65
professional,urban,Dakar,1231834,1132432.6,1353118.8,1101965.25,1387978.5999999999
professional,urban,Diourbel,382292,311508.7,462865.5,298688.2,490613.8
professional,urban,Fatick,1032659.5,835312.1,1262485.4000000001,777932.4500000001,1352611.45
professional,urban,Foundiougne,679121.5,560650.9,836933.3,530287.25,900633.7
professional,urban,Gossas,1033913,710990.5,1511408.1,653655.7,1671680.75
professional,urban,Goudiry,893360.5,635306.6,1287350.5000000002,572099.1,1461839
professional,urban,Goudomp,924760.5,741960.3,1162596.1,699560.15,1250278.4000000001
professional,urban,Guediawaye,715979.5,539892.7,958214.1000000001,502329.65,1059092.2999999998
professional,urban,Guinguineo,845883.5,607200.2999999999,1137995.7000000002,559622.8,1258778.4999999993
professional,urban,Kaffrine,630781.5,487222.5,804405.8,451980.45,869725
professional,urban,Kanel,551354.5,384717.5,778246.1000000001,337741.64999999997,863471.95
professional,urban,Kaolack,841566.5,742692.2,948264.8,718101.1000000001,979640.1000000001
professional,urban,Kebemer,1081460.5,826740.2999999999,1395473.9000000001,774155.65,1508734.9
professional,urban,Kedougou,1093149.5,933451,1280828.2000000002,892242.8,1336375.8
professional,urban,Kolda,828403,661264.5,1038509.6000000001,616042.75,1089952.4
professional,urban,Koungheul,674648,507051.7,873210.1,467117.9,944203.1999999997
professional,urban,Linguere,918059,742399.5,1149410.3,696953.7,1227940.9999999998
professional,urban,Louga,1056246.5,887409.1000000001,1232391.8,842099.45,1293281.25
professional,urban,M.backe,533459.5,422356.5,666135.1,396768.6,722140.05
professional,urban,M.bour,626781.5,523477.3,747660.7,496953.65,786208.8999999999
professional,urban,Malem.Hoddar,755401,499122.9,1127061.7000000002,428930.65,1248903.95
professional,urban,Matam,970893,769159.1,1238733,718290.6499999999,1334148.4
professional,urban,Nioro,867262,657731.7,1173824.9000000001,605297.7999999999,1266115.7499999998
professional,urban,Pikine,617828,561026.8,678947.8,546225.65,695558.7499999999
professional,urban,Podor,586337.5,419161.7,818867.2,373425.3,890639.75
professional,urban,Rufisque,1047781,867592.9,1259057.4,824424.0499999999,1323875
professional,urban,Saint.Louis,821692.5,607673.3,1076385.8,559338.85,1184763.9000000001
professional,urban,Salemata,822746.5,552561.1,1249842.4000000001,481850.25,1408816.65
professional,urban,Sedhiou,881454,714311.7000000001,1097762.2,675303.1,1156090.9000000001
professional,urban,Tambacounda,616417,510329.4,746245.8,479674.8,793751.95
professional,urban,Thies,751618,638672.1,893096.5,606389.2,937440.3999999999
professional,urban,Tivaouane,871113,712575,1078915.5,673375.05,1155079.0999999996
professional,urban,Velingara,887894,731892.4,1102678.7,679323.45,1172255.2499999998
professional,urban,Ziguinchor,695905,587902.5,825102.8,561550.8,871893.15
services,rural,Bambey,305325,242689.5,382689.9,230093.9,407727.7
services,rural,Bignona,344059.5,283538.4,420078.4,266675.8,444612.6499999999
services,rural,Birkelane,336175,253473.90000000002,459352.80000000005,234749.94999999998,502217.39999999997
services,rural,Bounkiling,346543,271202.4,445618,252835,487534.5
services,rural,Dagana,277538,218178.9,348714.89999999997,204832.40000000002,368676.94999999995
services,rural,Diourbel,219389,162062.80000000002,296581.4,149564.55,321629.5
services,rural,Fatick,235904,190802.5,297387.89999999997,176451.05,315157.4
services,rural,Foundiougne,334755.5,270315.60000000003,414614.30000000005,255632.30000000002,434930.24999999994
services,rural,Goudomp,347206,263790.6,468304.6,243956.95,508476.89999999997
services,rural,Guinguineo,348313.5,271118.9,463402.20000000007,247898.84999999998,500552.45
services,rural,Kaffrine,279561,214834.1,350173.2,197167.25,381310.39999999997
services,rural,Kanel,295916.5,218198.7,386390.30000000005,198558.19999999998,421746.5
services,rural,Kaolack,396173,330241.10000000003,477347,314615.5,508183.19999999984
services,rural,Kebemer,347662,276864.6,453202.7,257863.19999999998,490615.1499999999
