sector,urban,admin,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
small_business,urban,Birkelane,443048,295562,295474,520146,640081,299561,437419,607681,265352,433105,448713,224446,319043,404954,410340,441169,309629,276786,224654,300440,298393,317673,333801,446734,456441,361831,383385,435506,445014,447904,292656,470068,257280,164190,256122,290174,327958,267367,352119,426847,304479,299528,524738,609639,348742,377403,210552,350688,353896,308870,211936,328131,437735,206911,486842,379503,375810,415602,328167,324076,233622,381537,603298,205663,280352,268021,537640,568819,159872,259570,452499,357530,466378,474825,415714,460753,611974,532449,333238,373826,252595,327655,289572,539392,311472,318934,302525,321818,382106,300625,310102,298441,312695,443999,347160,252633,391998,437340,491185,431242
small_business,urban,Bounkiling,223094,270808,220561,286154,234639,303710,177036,216771,216873,202975,246781,218356,244431,235032,368963,293342,239385,276250,301918,254222,202044,197371,235173,357804,272884,238562,253640,239156,328809,250151,200124,241003,215449,247611,216967,258375,181850,191036,302432,270683,239896,228591,290175,253654,151893,227120,246969,234277,155236,224362,285658,237997,209217,180116,200933,237415,218527,198081,256920,183299,269258,208592,241813,212717,195282,260312,207450,182410,251921,278816,266341,236420,261902,256956,232469,248860,246826,253497,349445,208761,244398,249111,252694,291510,200213,198255,207725,271499,282030,284346,206215,274436,249606,203585,288601,262202,265230,204585,278080,220829
small_business,urban,Dagana,77428,80194,58034,79837,92893,71671,87700,70003,105581,106995,75853,79767,56630,104063,83196,64343,86440,69936,50347,84730,71717,61370,83241,77077,78950,70449,78586,80924,64657,68924,51764,78385,88939,69958,58475,78430,109063,70641,78717,90755,60724,70472,77376,68630,70080,66752,71870,73406,83032,73327,72576,95114,85880,77884,64424,57643,67115,84546,78361,72638,62627,63878,70782,66190,77881,65835,53667,85611,65543,52659,58155,82382,62816,66516,51404,52763,80060,77492,83818,71886,71902,104496,90663,76518,57237,64861,73550,81092,68250,56714,75493,70976,70023,58277,66931,84232,61792,77211,60338,76375
small_business,urban,Dakar,407651,463496,376526,410551,410344,427679,392626,351244,440783,392427,446928,422561,414476,406669,395463,376078,413998,429122,399162,404105,438330,399507,361865,378040,349683,411149,414854,414658,420115,381043,326512,323728,394985,341156,447064,410970,428113,409769,382145,361027,403467,365646,416484,409589,412026,384101,396277,337348,456495,395421,341439,385140,312818,424365,357390,412189,349611,395819,365770,402177,380549,390103,421411,358017,352114,355203,451653,404635,390748,438085,408732,300476,355511,400235,376851,365549,371203,380092,398165,366570,353856,373253,373601,408903,454709,407310,414892,360520,372990,359103,349820,376131,339603,350602,335104,388098,371864,371657,406258,445632
small_business,urban,Diourbel,153312,143155,119929,136966,156245,144327,136817,123184,131872,138951,143528,133661,161909,173698,136967,120432,134820,119145,142848,157655,127352,164938,151954,144184,152428,164475,140275,136825,139730,151333,140677,139356,133309,132675,128419,148754,153216,141609,154295,153978,135916,160531,135985,136386,167091,151903,128270,138201,163838,144160,138850,166256,125647,156002,136795,157158,148190,146410,106515,161219,142841,153682,172204,158453,137419,152014,144676,151245,164056,129381,137891,143235,153210,146860,133696,149886,163911,114263,124881,138065,148500,131291,128420,142893,132968,137201,135657,132310,132934,159040,132750,137187,146527,139957,164510,138223,161778,147461,129551,155633
small_business,urban,Fatick,90565,113875,90463,118761,107430,115940,114421,116422,103782,112595,106067,121477,114922,82914,164639,121429,156914,104390,112975,110988,109505,87185,124487,122402,116690,145505,97856,107182,110094,123403,115721,111790,128096,100403,96482,128537,143646,112429,133783,136572,100773,145310,126978,116399,138256,135733,111285,144447,94697,102019,91481,120272,127609,115461,133140,111100,117723,126249,103150,102878,126355,115282,114383,110297,113545,130452,125600,120159,167096,106790,142739,113527,114718,99727,113697,85725,101231,124806,122794,123994,133272,114184,141722,119640,97887,110502,113130,103648,124292,102644,162087,132870,171065,111000,111176,133217,133990,151077,93604,97624
small_business,urban,Foundiougne,187154,192329,197321,192985,193181,190365,166403,180838,191617,183853,162136,158626,223026,223703,189082,138232,176018,219097,194571,236932,145870,132255,206955,150359,169021,184961,210311,221090,230025,206445,182799,208896,212465,199693,174913,218932,189019,182613,172947,207523,178218,169909,236818,172710,159410,140081,192973,230712,215995,184124,154688,169168,190970,203123,200360,167787,167034,205179,169585,168113,253128,227513,241301,196853,202975,174932,165993,184640,179096,194994,239326,218171,197708,153928,191235,201275,209207,193577,188603,215949,192540,209227,207723,189556,172598,162625,181131,220322,179194,185855,157828,209948,192048,192191,265427,177459,192107,208545,197227,163833
small_business,urban,Gossas,149524,212849,297348,185411,252108,142492,314681,220976,278100,396254,281690,199833,296836,197859,294104,274628,351588,307229,244359,383088,211507,329520,303976,179067,286788,149931,168652,145256,316226,275654,200921,298583,293516,202997,148153,237409,229778,274622,265961,300032,264628,169863,219128,260410,220470,276660,191761,160315,270247,360032,198026,296258,306539,197120,204444,384079,227482,307849,220872,158556,227703,349971,198587,267161,119281,281065,248814,211467,233298,185734,421303,236336,269770,233143,217372,260194,175151,284290,316275,275678,187662,321024,264652,204955,185687,230172,186170,170921,297204,166439,288023,226625,214952,237750,264923,248158,202850,200045,320396,279197
small_business,urban,Goudiry,162521,288976,208658,170233,223658,151078,228215,79841,234741,242871,187911,258572,95505,244434,235060,395585,191721,211022,132846,120189,218623,232124,264883,281305,292779,199881,161779,188390,175902,207898,205274,149366,223971,246912,288641,261902,138489,205446,261810,148242,98252,206913,290214,288589,300714,193424,279404,195408,201577,165909,191634,240157,175590,208844,193268,252042,252594,287371,134451,224706,297245,142365,252499,329024,348712,233174,249280,125879,239467,165900,197883,162907,318499,138733,318876,247270,237867,267745,331871,207011,222892,256085,378920,315609,118263,165234,187419,249326,198003,196620,120480,205270,197974,180280,151770,137526,251737,216406,207597,216706
small_business,urban,Goudomp,281723,126664,319829,193024,215028,174266,155623,235697,223866,176961,211769,132809,163265,183895,161743,209394,191485,210315,203038,227722,186640,180327,190652,167108,194756,178826,150755,280143,230094,190600,196450,162456,180961,210972,210670,268283,192056,183384,179263,135543,137792,251970,183143,162946,162641,169237,308737,182880,220382,235684,182347,173672,200064,194291,199319,249597,161644,151529,173912,248985,209214,137054,133909,214078,191686,208735,274787,215814,181124,169621,178277,186430,226526,212892,195206,190732,203232,199142,161914,192501,171791,173219,142386,184720,206557,117219,214881,246785,199807,165089,143866,157973,172931,205718,161194,208385,241896,207118,145551,231897
