admin1,admin2,urban,sector,pred_med,pred_80lb,pred_80ub,pred_90lb,pred_90ub
Louga,Louga,urban,livestock,85959.5,58153.200000000004,129098.50000000001,52164.950000000004,145314.64999999994
Louga,Louga,urban,professional,1051091.5,898667.6,1229319,851654,1292171.95
Louga,Louga,urban,services,482949.5,403124.19999999995,579301.3,381650.5,611296.7000000001
Louga,Louga,urban,small_business,239435,202247.3,279393.9,193098.2,292838.4
Louga,Louga,urban,trades,797097,690949.2999999999,913097.1,668547.4,944935.7999999999
Matam,Kanel,rural,agri_aqua,88934,54202.8,145252,48396.4,164294.34999999998
Matam,Kanel,rural,livestock,90468,65633,123793.1,59935.399999999994,136552.89999999997
Matam,Kanel,rural,professional,351358,225993.5,495571.4,197941.65000000002,552772.2
Matam,Kanel,rural,services,296495.5,214328,400208.5,194293.9,444537.35
Matam,Kanel,rural,small_business,104063,79167.1,132166.9,74719.75,141984.5
Matam,Kanel,rural,trades,206987,147509.2,294312.3,131915.94999999998,322558.44999999995
Matam,Kanel,urban,agri_aqua,147249,90091.6,238681.1,75369,284195.89999999997
Matam,Kanel,urban,livestock,87519,57741,125711.1,50866,139613.39999999997
Matam,Kanel,urban,professional,577267.5,418519.5,807401.7000000001,384493.55000000005,886502.5
Matam,Kanel,urban,services,375523,266481.9,522468.80000000005,239677.2,574670.4499999998
Matam,Kanel,urban,small_business,144625,114508,184546.5,107060.90000000001,198262.8
Matam,Kanel,urban,trades,374897,283543.4,506339.2,257347.05000000002,550597.8499999999
Matam,Matam,rural,agri_aqua,45090.5,31146.6,64904.799999999996,28164.300000000003,71569.29999999999
Matam,Matam,rural,livestock,101322,77296.5,133508.9,70562,144927.9
Matam,Matam,rural,professional,422674,310614.60000000003,580795.7,285696.44999999995,621115.45
Matam,Matam,rural,services,347102.5,265305.5,456986.8,242698.7,496444.2499999999
Matam,Matam,rural,small_business,207912.5,155943.09999999998,272027.3,143772.55000000002,291862.0999999999
Matam,Matam,rural,trades,263582,175331.3,391221.6,151207.65,435603.04999999993
Matam,Matam,urban,agri_aqua,79572.5,33790.8,190120.1,25160.55,241096.1999999999
Matam,Matam,urban,livestock,63694,39258.9,104354.8,33437,119841.95
Matam,Matam,urban,professional,988568,774153.7999999999,1268522.8,720723.2,1349137.55
Matam,Matam,urban,services,462936.5,350444.8,612148.9,323271.8,659839.7000000001
Matam,Matam,urban,small_business,352027,278273.6,452120.4,261180.1,486793.7
Matam,Matam,urban,trades,488494.5,349432.9,703131.8,323846.69999999995,763121.7999999999
Matam,Ranerou,rural,agri_aqua,100355,51831.6,187893.10000000003,43679.2,224029.74999999988
Matam,Ranerou,rural,livestock,92857,66370.2,130397.90000000002,60408.2,143312.90000000002
Matam,Ranerou,rural,professional,412780,267115.6,630924.5,237945.45,721984.4
Matam,Ranerou,rural,small_business,193134,127971.6,293635.9,115696.45,330154.49999999994
Saint-Louis,Dagana,rural,agri_aqua,210596.5,158350.7,288489.9,147262.3,307074.99999999994
Saint-Louis,Dagana,rural,livestock,46570,34866.7,63160,31878.95,68769.6
Saint-Louis,Dagana,rural,professional,429367.5,310285.5,604654.8,279188.3,667616.6
Saint-Louis,Dagana,rural,services,277135,215499.7,354477.5,200404.5,380463.6
Saint-Louis,Dagana,rural,small_business,77635,61608.4,99482.6,57472.15,108508
